YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,21,5,0.0,365.38,0.0,84.6
2025,1,21,6,0.01,364.62,0.0,84.68
2025,1,21,7,0.1,357.0,0.06,84.75
2025,1,21,8,0.44,376.75,0.03,84.8
2025,1,21,9,0.99,380.62,0.01,84.8
2025,1,21,10,1.5,389.02,0.0,84.75
2025,1,21,11,1.85,388.02,0.0,84.65
2025,1,21,12,1.84,394.2,0.0,84.54
2025,1,21,13,1.45,377.8,0.0,84.43
2025,1,21,14,1.05,392.02,0.0,84.33
2025,1,21,15,0.58,387.0,0.0,84.29
2025,1,21,16,0.17,392.35,0.0,84.31
2025,1,21,17,0.01,395.8,0.0,84.37
2025,1,21,18,0.0,392.98,0.0,84.45
2025,1,21,19,0.0,365.15,0.0,84.54
2025,1,21,20,0.0,367.9,0.0,84.63
2025,1,21,21,0.0,356.1,0.0,84.68
2025,1,21,22,0.0,351.08,0.0,84.69
2025,1,21,23,0.0,350.75,0.0,84.67
2025,1,22,0,0.0,346.73,0.0,84.62
2025,1,22,1,0.0,326.02,0.0,84.57
2025,1,22,2,0.0,337.25,0.0,84.52
2025,1,22,3,0.0,332.25,0.0,84.52
2025,1,22,4,0.0,327.92,0.0,84.55
2025,1,22,5,0.0,326.3,0.0,84.6
2025,1,22,6,0.01,322.23,0.0,84.66
2025,1,22,7,0.09,308.98,0.0,84.73
2025,1,22,8,0.45,328.1,0.0,84.78
2025,1,22,9,0.99,334.5,0.0,84.78
2025,1,22,10,1.52,350.23,0.0,84.75
2025,1,22,11,2.01,362.75,0.0,84.68
2025,1,22,12,2.03,365.1,0.0,84.59
2025,1,22,13,1.72,347.73,0.0,84.5
2025,1,22,14,1.23,369.1,0.0,84.43
2025,1,22,15,0.66,361.6,0.0,84.42
2025,1,22,16,0.2,363.2,0.0,84.44
2025,1,22,17,0.01,356.85,0.0,84.5
2025,1,22,18,0.0,348.27,0.0,84.59
2025,1,22,19,0.0,331.95,0.01,84.67
2025,1,22,20,0.0,341.58,0.01,84.73
2025,1,22,21,0.0,335.25,0.01,84.75
2025,1,22,22,0.0,330.85,0.01,84.74
2025,1,22,23,0.0,328.73,0.01,84.71
2025,1,23,0,0.0,325.2,0.01,84.65
2025,1,23,1,0.0,314.92,0.01,84.6
2025,1,23,2,0.0,326.12,0.0,84.56
2025,1,23,3,0.0,322.02,0.0,84.55
2025,1,23,4,0.0,322.58,0.0,84.57
2025,1,23,5,0.0,326.6,0.0,84.62
2025,1,23,6,0.01,323.15,0.0,84.67
2025,1,23,7,0.1,317.15,0.0,84.74
2025,1,23,8,0.48,339.08,0.0,84.79
2025,1,23,9,1.07,346.17,0.0,84.79
2025,1,23,10,1.6,368.45,0.0,84.74
2025,1,23,11,1.88,389.8,0.0,84.65
2025,1,23,12,1.84,387.4,0.0,84.54
2025,1,23,13,1.6,380.08,0.0,84.43
2025,1,23,14,1.16,391.48,0.0,84.36
2025,1,23,15,0.62,382.58,0.0,84.34
2025,1,23,16,0.18,382.1,0.0,84.37
